ID,month,sku_hash,product_type,product_gender,macro_function,function,sub_function,model,aesthetic_sub_line,macro_material,color,fr_FR_price,en_US_description,target
3c6cc007146fae68cbd4c23bd31ac9e3f80036ab_1,1,3c6cc007146fae68cbd4c23bd31ac9e3f80036ab,Leather Goods,Unisex,REFILLS,DIARY REFILLS,DATED DIARY REFILLS,RECHARGE MIL AF MM,SANS LIGNE ESTHETIQUE,OTHER,BLANC MAT,42.0,"Featuring a colorful design and artistic drawings, this medium-format Agenda Refill includes daily poetry to accompany its owner throughout the year. This functional version contains only essential diary elements.",990.0
2f7bad2ffbdcff6e8a7e7673fd67562df2ef0634_1,1,2f7bad2ffbdcff6e8a7e7673fd67562df2ef0634,Leather Goods,Women,CITY BAGS,DAILY BAGS,BACKPACKS,PALM SPRINGS,AUTRES CUIRS,LEATHER,NOIR,2100.0,Nicolas Ghesquière continues to explore the essence of Parisian authenticity for Fall-Winter 17 with this futuristic creation. The re-purposed Louis Vuitton Vs and the matte metallic touches offer a sporty and playful look for a new interpretation of the Palm Spring,73.0
295306b709432bc446985b777c0e8076f24306d8_1,1,295306b709432bc446985b777c0e8076f24306d8,Leather Goods,Women,LG ACCESSORIES,SMALL LEATHER GOODS,LONG WALLETS,PF.CLEMENCE,EPI,LEATHER,PRUNE,420.0,"Compact yet ample, in smart and elegant Epi leather, the new version of the Clémence Wallet is offered in playful and high-fashion shades. ",188.0
170eb219ebb142d32d3068021552530f9895d0ef_1,1,170eb219ebb142d32d3068021552530f9895d0ef,Leather Goods,Men,LG ACCESSORIES,LEASURE,TECHNICAL CASES,IPHONE FOLIO,DAMIER GRAPHITE,CANVAS,GRAPHITE,235.0,"Fashioned in Damier Graphite Canvas, the iPhone7 Folio is as innovative as it is elegant. The functional adhesive surface, naturally integrated into its slim shape, hold the phone perfectly to protect it from the bumps and knocks of modern life.",302.0
6db7a7f9ebd450cec9c5a7592bcc72d3dd8e86c6_1,1,6db7a7f9ebd450cec9c5a7592bcc72d3dd8e86c6,Accessories,Men,TIES,TIES,LV LOGO TIES,CRAVATE MONOGRAM LINES,SANS LIGNE ESTHETIQUE,TEXTILE,,150.0,This classic business tie subtly references Louis Vuitton's iconic Monogram pattern with discreet Monogram motifs printed in lines within the stripes.,197.0
e6da4a4e87dfa2623fcb6166af6158887e9c2a67_1,1,e6da4a4e87dfa2623fcb6166af6158887e9c2a67,Accessories,Women,BELTS,ASSEMBLED BELTS,30-35 MM BELTS,CEINT LV INITIALES REV,MONOGRAM,CANVAS,,370.0,"A timeless branded model that offers two belts in one thanks to its reversible option. The iconic LV initials buckle can be associated with Monogram canvas for a more casual look, or with bright red leather for a highly colored silhouette.",114.0
bae569703a39bfbca3153445c90b8beb2e486cbd_1,1,bae569703a39bfbca3153445c90b8beb2e486cbd,Accessories,Women,FANCY ACCESSORIES,BAG CHARMS,BAG CHARMS,BAG CHARM LOUIS WIRE,SANS LIGNE ESTHETIQUE,NON PRECIOUS METAL,,295.0,"Featuring feminine round shapes, this elegant key holder combines historical Monogram Flowers and a distinctive ""Louis"" wire, tribute to Louis Vuitton himself.",233.0
9911283f6be7a225917a4c544a6ea95f0e75af4c_1,1,9911283f6be7a225917a4c544a6ea95f0e75af4c,Leather Goods,Women,CITY BAGS,DAILY BAGS,CROSS SHOULDER BAGS,CLERY,EPI,LEATHER,NOIR,1240.0,"A bag to fit any mood or silhouette, the new Cléry Pochette in Epi leather can be worn on the shoulder, cross-body (merci, adjustable strap) or carried by the finely detailed top handle. Surprisingly roomy, it is offered in a bouquet of fashionable shades.",644.0
1a4543fbfe688db2d727b2a07813361ca2cb7941_1,1,1a4543fbfe688db2d727b2a07813361ca2cb7941,Leather Goods,Women,CITY BAGS,DAILY BAGS,HANDBAGS,VERY ONE HANDLE,VERY,LEATHER,NOIR,2350.0,This chic city bag marries exceptional style with flawless functionality. The V stitching signature on the strap and the contrast between sleek and grained leather bring refined elegance. But the large capacity – and quick access to personal belongings thanks to the back pocket – is what makes it a must-have daily companion.,90.0
c55e065bcb1d4c72bc2a9af949bb310661bb344b_1,1,c55e065bcb1d4c72bc2a9af949bb310661bb344b,Leather Goods,Women,PERFUME ACCESSORIES,PERFUME ACCESSORIES,PERFUME ACCESSORIES,ETUI VOYAGE PARFUM,MONOGRAM,CANVAS,MONOGRAM,400.0,"In creating the Fragrance Travel Cases, Louis Vuitton applies its savoir-faire and mastery in custom-designing the perfect case for transporting and protecting each item of one’s personal belongings. The 100ML travel case conserves and protects your perfume bottle, closing securely with a buckle. Slip it into your bag in every situation.The 100ml travel case can also be personalized in store to the initials of your choice.",593.0
495e949fa4ff0533f30f0cefc4a9948d1ec270ab_1,1,495e949fa4ff0533f30f0cefc4a9948d1ec270ab,Accessories,Men,FASHION JEWELRY,BRACELETS,LG BRACELETS,BRACELET HOCKENHEIM,MONOGRAM ECLIPSE,CANVAS,,200.0,"Inspired by the Hockenheim signature from our shoes collection, this wide, masculine bracelet's LV initials have been reworked inside a frame for a modern look. It is available in timeless colors that can be worn with any tone or outfit.",215.0
b1234d5dd478535cb4e9966066d84ed24c0463b2_1,1,b1234d5dd478535cb4e9966066d84ed24c0463b2,Accessories,Unisex,GIFTING OBJECTS,GAMES,GAMES,ETUIS CARTES ARSENE,MONOGRAM ECLIPSE,CANVAS,,330.0,"This playful pouch contains an elegant pack of Louis Vuitton playing cards. The perfect companion for a nomadic lifestyle, it features bright red leather and a contrasting lining for a playful look.",126.0
e6516c36dcf2f16087ba56293323912600d2694b_1,1,e6516c36dcf2f16087ba56293323912600d2694b,Leather Goods,Women,LG ACCESSORIES,SMALL LEATHER GOODS,LONG WALLETS,PF.IRIS,MAHINA,LEATHER,BLEU MARINE,885.0,"In deep navy blue Mahina leather, this Iris wallet is both refined and timeless. Crafted from sumptuously soft calfskin with a perforated Monogram design, it is as luxurious as it is functional.",143.0
348913e0dfe0d9e46b07f06dd245b7f21b08b34d_1,1,348913e0dfe0d9e46b07f06dd245b7f21b08b34d,Leather Goods,Women,CITY BAGS,DAILY BAGS,SHOULDER BAGS,PONTHIEU,MONOGRAM EMPREINTE,LEATHER,MARINE ROUGE,2120.0,"Crafted of supremely supple Monogram Empreinte leather, the Ponthieu shoulder tote makes a stylish daily companion. Effortlessly chic (note the hoop detail on the handles and signature zip pulls), the roomy MM model provides ample space for essentials.  ",112.0
eb061bf86fe6961ae275419c7c2b2a61b2d8cd09_1,1,eb061bf86fe6961ae275419c7c2b2a61b2d8cd09,Accessories,Men,TIES,TIES,OTHER TIES,CRAVATE DIAMONDS V,SANS LIGNE ESTHETIQUE,TEXTILE,,150.0,"Ideal as a gift, this silk jacquard tie transforms Louis Vuitton's V motif into a graphic diamond pattern for a vibrant, modern look.",160.0
c90f6c270670a59dde139bc2a2db05165f8fbe3d_1,1,c90f6c270670a59dde139bc2a2db05165f8fbe3d,Leather Goods,Women,LG ACCESSORIES,SMALL LEATHER GOODS,LONG WALLETS,PF.CAPUCINES LONG,CAPUCINES,LEATHER,NOIR FLAMINGO,950.0,"Crafted in supple Taurillon leather with a leather-covered LV signature, this elegant wallet is inspired by the emblematic Capucines line. Sensorial yet functional, it is still large enough to fit all your daily essentials.",57.0
b7d77ce215c5f55f421bbed636611831ba49bc60_1,1,b7d77ce215c5f55f421bbed636611831ba49bc60,Leather Goods,Women,CITY BAGS,DAILY BAGS,HANDBAGS,TUILERIES HANDBAG,MONOGRAM,CANVAS,MONOGRAM,1940.0,"The Tuileries Handbag tells a bold fashion story with its eye-catching mix of Monogram canvas and tricolor cowhide leather. It allows multiple ways of carry, with twin Toron handles for a chic elbow carry and a strap for practical over-the-shoulder wear.",561.0
83342f4739356582ac1ae63954b778978a317634_1,1,83342f4739356582ac1ae63954b778978a317634,Leather Goods,Men,CITY BAGS,DAILY BAGS,HANDBAGS,TOTE,MONOGRAM OTHER,CANVAS,ENCRE,1550.0,"For the second time, Louis Vuitton commissioned renowed British artists Jake & Dinos Chapman to work on an oneiric wildlife world for the men's Spring Summer 2017 Fashion Show. Their unique artistic signature is illustrated thanks to original designs of these animals : Lion, Giraffe, Zebra, Rhinoceros and Elephant. ",372.0
ba65e04df469118cf961b73fe43ee73a7ea3b179_1,1,ba65e04df469118cf961b73fe43ee73a7ea3b179,Leather Goods,Women,CITY BAGS,EVENING BAGS,EVENING BAGS,POCHETTE LOUISE,AUTRES CUIRS,LEATHER,NOIR MAGNETIQUE,1590.0,"Proposed for the fist time in black smooth leather, the elegant EW size has been delicately embellished with bicolour metallic staples on its edges, as a tribute to couture stitches. This animation underlines the Louise EW sleek design & gives a rich twist to this evening essential. Louise EW Staples sublimates every evening looks thanks to its elegant hand-carry.",75.0
233a8ec340972c741e987d428e941c50968a2b22_1,1,233a8ec340972c741e987d428e941c50968a2b22,Leather Goods,Men,LG ACCESSORIES,SMALL LEATHER GOODS,CASES / POUCHES,POCHETTE JOUR,EPI,LEATHER,RED,600.0,"Effortlessly styllish thanks to the iconic Supreme logo features on the supple Epi leather, this clutch is for those who want an ultra-fashionable portfolio with which to transport documents, and other daily essentials.",1806.0
ddb8ffa5b5fc18b91a4dddd2c2094305a8fe38b9_1,1,ddb8ffa5b5fc18b91a4dddd2c2094305a8fe38b9,Accessories,Women,TEXTILES,BANDEAU,BANDEAU,BANDEAU KAMONOGRAM,SANS LIGNE ESTHETIQUE,TEXTILE,,135.0,"This colorful silk bandeau reinterprets Louis Vuitton's Monogram flowers in a graphic, Japan-inspired spirit: ""kamon"" means coat-of-arms in Japanese. Featuring the iconic Monogram pattern on the reverse, it makes a perfect gift.",1018.0
59843c8d8c51d84ce1dae53dc5951ffd682b4362_1,1,59843c8d8c51d84ce1dae53dc5951ffd682b4362,Leather Goods,Women,CITY BAGS,DAILY BAGS,HANDBAGS,PALLAS,MONOGRAM,CANVAS,MONOGRAM,1880.0,"The Pallas is so much more than a chic bag. It’s an alluring fusion of Monogram canvas, natural cowhide leather trim and coloured calf leather, giving it a distinctive look and a very supple feel. ",256.0
3bc124fe49d9734e28220ca294ea6eae84f152bb_1,1,3bc124fe49d9734e28220ca294ea6eae84f152bb,Leather Goods,Men,LG ACCESSORIES,SMALL LEATHER GOODS,CASES / POUCHES,POCHETTE VOYAGE,MONOGRAM ECLIPSE,CANVAS,ECLIPSE,650.0,"Designed in collaboration with the Japanese designer Hiroshi Fujiwara, the POCHETTE VOYAGE MM combines both House heritage - with the Monogram pattern - and modernity with fine details -  two reflective bands and a black one, lozine edging, pocket stitching, colored Rainbow hardware - for a result both sporty and fashion. The Pochette Voyage MM can either slip into a bag or be carried by hand. Its generous volume thanks to the gusset will give you an easy access to all your belongings.",925.0
a05faf7851433bb57b693a4e77ec5f7b2541a48e_1,1,a05faf7851433bb57b693a4e77ec5f7b2541a48e,Leather Goods,Women,LG ACCESSORIES,SMALL LEATHER GOODS,WALLET ON CHAIN,PF.TWIST CHAIN,EPI,LEATHER,NOIR,1400.0,"Inspired by the Amazon rainforest, this Twist Exotic Birds limited edition is adorned with a hummingbird motif, intricately embroidered in multi-colored sequins. Stylish and versatile, the Twist Chain Wallet can be carried as a clutch or over the shoulder on its long chain. It features the playful Twist turn-lock with an L that transforms into a V with a twist of the fingers.",238.0
f1dbf91e1b7e2b06885778989781f0a9c2b16521_1,1,f1dbf91e1b7e2b06885778989781f0a9c2b16521,Leather Goods,Women,CITY BAGS,DAILY BAGS,SHOULDER BAGS,SPEEDY BANDOULIERE,MONOGRAM EMPREINTE,LEATHER,ROSE POUDRE,1620.0,"Every feature of this Speedy is iconic: the unique shape, the leather handles. No wonder it has achieved cult status the world over. Designed for travellers in 1930 (the name is a nod to the era’s rapid transit), with a strap for shoulder or cross-body wear, today’s Speedy 20 is a perfect city bag – supple, lightweight and forever in style. This new reading of a House icon, crafted of embossed Empreinte leather, is a timelessly elegant bag for the fashionable woman.",137.0
3f2eb7b2d9e25d9f17a2537f4a8dc83b522e9e4a_1,1,3f2eb7b2d9e25d9f17a2537f4a8dc83b522e9e4a,Accessories,Men,TEXTILES,STOLES,LIGHT STOLES,ETOLE LATITUDE,SANS LIGNE ESTHETIQUE,TEXTILE,,345.0,"This modern stole features an eye-catching design of dynamic lines, bright colors and race numbers to evoke the America's Cup universe against a background of Louis Vuitton's iconic Damier pattern. Its soft, lightweight blend of silk and cotton makes it ideal for mid-season temperatures.",108.0
6ec43e3f1f2490a48e2537116110676f83c0b057_1,1,6ec43e3f1f2490a48e2537116110676f83c0b057,Accessories,Women,TEXTILES,SET HAT & GLOVES,HATS SETS,BONNET MONOGRAM SUNSET,SANS LIGNE ESTHETIQUE,TEXTILE,,255.0,"Fresh and stylish for winter, the new Sunset accessory feature an allover Monogram Flowers motif in a modern gradiant effect. Knitted in a warm wool-cashmere blend, it's a perfect accessory  to protect from the cold  ",193.0
81a12b07f6b90da9efe190b1581d553d3e3218aa_1,1,81a12b07f6b90da9efe190b1581d553d3e3218aa,Leather Goods,Women,CITY BAGS,DAILY BAGS,HANDBAGS,PALLAS,MONOGRAM,CANVAS,MONOGRAM,1940.0,"The glamorous Pallas combines iconic Monogram canvas with colorful grained leather for a very feminine, modern feel. This Full version is enriched with colorful leather gussets, for even more elegance. A study in flawless functionality, it is lightweight yet roomy enough to fit all the essentials of daily life.",620.0
c7154c00150a80c84cac7a700363a0a6fbc295f9_1,1,c7154c00150a80c84cac7a700363a0a6fbc295f9,Leather Goods,Women,CITY BAGS,DAILY BAGS,SHOULDER BAGS,GIROLATA,MAHINA,LEATHER,NOIR,2660.0,"The perfect summer companion, this effortlessly chic Girolata in Mahina calfskin is versatility incarnate. You can wear it in two ways, with the drawstring open, it can be carried as a large casual tote and without, it is an on-trend bucket bag. ",388.0
34e7009d03294379ae04a7c2e86772b713f10fdc_1,1,34e7009d03294379ae04a7c2e86772b713f10fdc,Leather Goods,Men,CITY BAGS,DAILY BAGS,CROSS SHOULDER BAGS,DISTRICT,DAMIER GRAPHITE,CANVAS,GRAPHITE,1190.0,"The LV League collection combines heritage labels with college-style patches inspired by Kim Jones' menswear shows. Fusing style and functionality, the District messenger bag is an ideal companion for every day.",443.0
14c263a04aef37291c0bd3294c465882feb994ce_1,1,14c263a04aef37291c0bd3294c465882feb994ce,Accessories,Women,TEXTILES,SHAWLS,SHAWLS,CHALE MONOGRAM BLURRYGRAM,SANS LIGNE ESTHETIQUE,TEXTILE,,550.0,"Available in three colors that match the FW17 color range, this modern reinterpretation of the Monogram shawl will light up any winter outfit. Its eye-catching blurry design is inspired by set of lights.",707.0
02dd12c2f680c763fe9dbeda0a706341ff8b5afd_1,1,02dd12c2f680c763fe9dbeda0a706341ff8b5afd,Accessories,Men,BELTS,ASSEMBLED BELTS,40 MM BELTS,CEINT LV INITIALES,AUTRES CUIRS,LEATHER,,485.0,"Crafted from waxed calf leather, this new version of the Maison's iconic LV Initiales model is a perfect match for our LV Montaigne loafers. Available in two timeless colors, it will complement business suits and as well as more casual looks.",95.0
110634013e1161caf246be3891db161cbe0b1617_1,1,110634013e1161caf246be3891db161cbe0b1617,Accessories,Women,TEXTILES,SQUARES,70 CM SQUARES,CARRE KAMONOGRAM,SANS LIGNE ESTHETIQUE,TEXTILE,,250.0,"This colorful silk square reinterprets Louis Vuitton's Monogram flowers in a graphic, Japan-inspired spirit: ""kamon"" means coat-of-arms in Japanese. This elegant accessory will add a sophisticated, feminine touch to any outfit.",154.0
735f82489f396369c7a5771f3ae00586e1c69d90_1,1,735f82489f396369c7a5771f3ae00586e1c69d90,Accessories,Men,BELTS,ASSEMBLED BELTS,40 MM BELTS,CEINT LV INITIALES,AUTRES CUIRS,LEATHER,,485.0,"Crafted from waxed calf leather, this new version of the Maison's iconic LV Initiales model is a perfect match for our LV Montaigne loafers. Available in two timeless colors, it will complement business suits and as well as more casual looks.",77.0
b59d3a0857913d8028097b3053d59ec98d8a6e36_1,1,b59d3a0857913d8028097b3053d59ec98d8a6e36,Accessories,Men,TEXTILES,STOLES,WINTER STOLES,ETOLE MERCURIAL,SANS LIGNE ESTHETIQUE,TEXTILE,,375.0,"Ideal for mid-season, this versatile wool and silk stole combines the iconic Monogram pattern with stripes in muted colors for a fashionable vintage look.",636.0
fd02b4ab6ff191d02b06839b12f3df33064f36d0_1,1,fd02b4ab6ff191d02b06839b12f3df33064f36d0,Accessories,Women,TEXTILES,BANDEAU,BANDEAU,BANDEAU KAMONOGRAM,SANS LIGNE ESTHETIQUE,TEXTILE,,135.0,"This colorful silk bandeau reinterprets Louis Vuitton's Monogram flowers in a graphic, Japan-inspired spirit: ""kamon"" means coat-of-arms in Japanese. Featuring the iconic Monogram pattern on the reverse, it makes a perfect gift.",659.0
6c778b877ecd529be12266d4ecc2d05b81176418_1,1,6c778b877ecd529be12266d4ecc2d05b81176418,Leather Goods,Women,LG ACCESSORIES,SMALL LEATHER GOODS,WALLET ON CHAIN,POCHETTE FELICIE,EPI,LEATHER,COQUELICOT,775.0,"With its two removable interior pockets, the Pochette Felicie in Epi leather is the stylish solution to carry and organize your daily essentials. Much more than a wallet, it can be transformed into a glamorous shoulder bag or clutch thanks to its removable silver chain. ",225.0
60efdeb999fe57507f9e3affa7b270b9b85f0dcd_1,1,60efdeb999fe57507f9e3affa7b270b9b85f0dcd,Leather Goods,Men,LG ACCESSORIES,SMALL LEATHER GOODS,LONG WALLETS,PF.BRAZZA,DAMIER GRAPHITE,CANVAS,GRAPHITE,510.0,The 2017 LV League collection reveals a tribute to Louis Vuitton history both past and present. It associates iconic labels inspired from Gaston-Louis Vuitton collection and college style ones.This Brazza wallet exudes playful sophistication. Its generous size makes it perfect for your daily essentials and yet fits into any pocket.,782.0
8bf84fe2fabbb81ceb9d261d70205f76fbe073f4_1,1,8bf84fe2fabbb81ceb9d261d70205f76fbe073f4,Accessories,Women,TEXTILES,SHAWLS,SHAWLS,CHALE MONOGRAM NEO DENIM,SANS LIGNE ESTHETIQUE,TEXTILE,,400.0,"Ideal for everyday use, this luxuriously soft Monogram Neo Denim shawl is subtle and very feminine. Entirely weaven in jacquard, it features the Louis Vuitton signature and the Monogram pattern.",826.0
de155f7752bc72067b462b4b87841b1bc7267738_1,1,de155f7752bc72067b462b4b87841b1bc7267738,Leather Goods,Unisex,REFILLS,DIARY REFILLS,DATED DIARY REFILLS,RECHARGE MIL AF MM,SANS LIGNE ESTHETIQUE,OTHER,VERT BLANC,79.0,"Featuring a colorful design and artistic drawings, this medium-format Agenda Refill includes daily poetry to accompany its owner throughout the year. Extra features comprise a directory, traveler's guide and world map.",562.0
949f402410f2f8c5ed409e2fda9db38a6f2c5298_1,1,949f402410f2f8c5ed409e2fda9db38a6f2c5298,Leather Goods,Women,CITY BAGS,EVENING BAGS,EVENING BAGS,PETITE MALLE,EPI METALLIC,LEATHER,ROSE GOLD,3800.0,"The Petite Malle Epi beautifully mixes Louis Vuitton craftsmanship with a bold, stylish statement. Reflecting the Maison’s heritage in trunk making, it is adorned with the crosses signature of world traveller Albert Kahn. Ageless and perfect for day to night chic. The Epi leather, historical heritage of the House, is reinterpreted in a modern and fashionable colour with studded Epi leather trimming.",57.0
da446e6a93c9da6a2ba71f134b9c52a3ec2aab8e_1,1,da446e6a93c9da6a2ba71f134b9c52a3ec2aab8e,Leather Goods,Men,TRAVEL,TRAVEL ACCESSORIES,TOILET KITS,TROUSSE TOILETTE,DAMIER COBALT,CANVAS,COBALT,610.0,"Bearing all the hallmarks of the 35th America’s Cup Collection – oversized  new Damier Latitude canvas, historic “V Gaston” signature, regatta-red accents – this limited-edition toiletry bag is generously sized, to hold a man’s grooming gear in sporty style. ",88.0
f28060bf6d4af7d135b3c4a08f03fb3d9288228b_1,1,f28060bf6d4af7d135b3c4a08f03fb3d9288228b,Leather Goods,Women,LG ACCESSORIES,SMALL LEATHER GOODS,WALLET ON CHAIN,PF.TWIST CHAIN,AUTRES CUIRS,LEATHER,NAVY,1300.0,"Inspired by the romantic vibe of Louis Vuitton's Spring/Summer 2017 fashion show, the Flower Lace theme transposes the collection's key lace story into an intricately crafted design on leather, incorporating Monogram Flowers and the LV Circle logo. Stylish and versatile, the Twist Chain Wallet can be carried as a clutch or over the shoulder on its long chain. It features the playful Twist turn-lock with an L that transforms into a V with a twist of the fingers.",76.0
75cc6d98ffb772c27adbf07cb026569fbb29d034_1,1,75cc6d98ffb772c27adbf07cb026569fbb29d034,Leather Goods,Men,LG ACCESSORIES,SMALL LEATHER GOODS,CASES / POUCHES,POCHETTE VOYAGE,DAMIER OTHER,CANVAS,BLANC,595.0,"Strong graphics and nautical accents mark this edition of the Pochette Voyage  created for the 2017 America’s Cup Collection. A sporty reinterpretation of the historical V Gaston cuts boldly across the new Damier Coastline pattern, for a modern and fashion piece. You can slip the Pochette Voyage MM  into your bag as a travel pouch or hand carry it for a trendier look. The spacious interior and gussets mean easy access to all your essentials.",389.0
e508e8a46e691e508a064b122b9e0435c9253647_1,1,e508e8a46e691e508a064b122b9e0435c9253647,Leather Goods,Women,LG ACCESSORIES,SMALL LEATHER GOODS,LONG WALLETS,PF.SARAH,MONOGRAM EMPREINTE,LEATHER,MARINE ROUGE,625.0,This envelope-style Sarah wallet combines an exterior in discreetly embossed Monogram Empreinte leather with an ingeniously designed interior featuring a variety of pockets and credit card slots.,844.0
23bf25ee278cd834c05d6a73f60517ca35507513_1,1,23bf25ee278cd834c05d6a73f60517ca35507513,Leather Goods,Women,CITY BAGS,DAILY BAGS,CROSS SHOULDER BAGS,BENTO BOX,MONOGRAM,CANVAS,MONOGRAM,1780.0,"The Japanese-inspired Bento Box is the statement shape from Cruise 18. Crafted of classic Monogram and Monogram Reverse canvas with leather trim and gleaming golden hardware, it features both a handle and a strap for hand, shoulder or cross-body wear. ",453.0
2029ac4ff9ec83b78c30b727c4e0edba8c80068d_1,1,2029ac4ff9ec83b78c30b727c4e0edba8c80068d,Leather Goods,Women,LG ACCESSORIES,SMALL LEATHER GOODS,LONG WALLETS,ZIPPY WALLET,EPI,LEATHER,NOIR,615.0,"In black leather with contrasting hot pink edge dyeing, this iconic wallet’s pure design gets a daring twist. Its well-organized functionalities make it the optimal answer for the vagaries of urban living.",510.0
713f047a7e3798c764291733d3854100fe506da8_1,1,713f047a7e3798c764291733d3854100fe506da8,Accessories,Women,TEXTILES,SHAWLS,SHAWLS,CHALE MONOGRAM DEVORGRAM,SANS LIGNE ESTHETIQUE,TEXTILE,,635.0,"Ideal to brighten up any look, this soft shawl in silk and wool is a study in versatility: highlight the plain part of the pattern for a more classic feel or feature the flower motif for a fancier occasion.",417.0
3778ba3eecadb90d5fffb6bd2952ab87bd9d8883_1,1,3778ba3eecadb90d5fffb6bd2952ab87bd9d8883,Accessories,Unisex,GIFTING OBJECTS,OFFICE ITEMS,BLOTTERS & PADS,TROUSSE ELIZABETH,AUTRES CUIRS,LEATHER,,290.0,"A must-have office accessory, this playful pencil pouch combines iconic Louis Vuitton signatures with an elegant look. Monogram canvas, VVN leather and the LV Circle motif add branded touches, while the color will brighten up your desk.",193.0
